scope,q,k,factor,high,low,outcome,estimate,ci_low,ci_high,n_seeds,n_matched_cells
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,-0.0027249999999999887,-0.011024999999999997,0.005325000000000024,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,0.050529999999999985,-0.027129999999999998,0.14940124999999999,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,0.0041749999999999956,-0.0052756249999999965,0.013401874999999985,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,-0.048519999999999994,-0.14696025000000001,0.05016,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,-0.005199999999999994,-0.014751249999999995,0.0050000000000000044,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,0.02393,-0.05154100000000001,0.10037175000000001,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,0.0027000000000000136,-0.0053499999999999884,0.010650625000000006,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,0.07388,0.021330000000000002,0.14867175,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,0.007399999999999995,7.31250000000034e-05,0.01569999999999998,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,0.0,0.0,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,0.0,0.0,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,-0.07565999999999999,-0.15135,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,-0.00754999999999999,-0.015374999999999982,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,-0.07514,-0.15036924999999998,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,-0.007674999999999999,-0.015349999999999997,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,-0.0736,-0.1472,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,-0.007724999999999993,-0.01579999999999998,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,-0.12464,-0.19985,-0.04958,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,-0.012324999999999985,-0.019999999999999973,-0.004674999999999996,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,rho_y,-0.05077,-0.12547000000000003,0.0,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,actor_critic_subspace1024,actor_critic_full,iid_accuracy,-0.005274999999999997,-0.01309999999999999,0.0,10,10
