inference_status,q_only_error_count,design_panel,outcome,identified_seeds,estimate,ci_low,ci_high,seed_clusters,bootstrap_draws,count
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,stable_gate,20,0.1,0.0,0.25,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_diagnostic_accuracy,20,0.7266600000000001,0.6208625,0.819802875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_factorial_accuracy,20,0.728271484375,0.622442626953125,0.8224609375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_target_probability,20,0.7155231953321858,0.6124146481678907,0.8054617436737642,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_seen_accuracy,20,0.8924305555555556,0.8185347222222222,0.9491666666666667,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_seen_target_probability,20,0.875691674362112,0.8070146288728716,0.9352207644208844,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_unseen_accuracy,20,0.6999574990981241,0.5850186735284392,0.8020844898012868,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,q_only_unseen_target_probability,20,0.6878660986948889,0.5810648695255757,0.784487990749898,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,seen_minus_unseen_probability,20,0.18782557566722308,0.13155698361664642,0.24597830304836782,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,common_iid_target_accuracy,20,0.9998374999999999,0.9996625,0.9999625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,active_codeword_coverage,20,0.146875,0.1421875,0.15078125,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,behavior_P,20,0.43267822265625,0.40544403076171875,0.45561553955078127,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,behavior_Q,20,0.56854248046875,0.5451156616210938,0.5954119873046876,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,behavior_Y,20,0.93145751953125,0.9049310302734375,0.9552743530273438,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,causal_P,20,0.432232666015625,0.4060835266113281,0.4559638977050781,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,causal_Q,20,0.568487548828125,0.5448177337646484,0.593482666015625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,causal_Y,20,0.93123779296875,0.9054258728027341,0.9549096679687499,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,pure_Y,20,0.8,0.6,0.95,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,pure_Q,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,pure_P,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,"taxonomy:modal 113, unstable",20,0.05,0.0,0.15,20,4000,1
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,taxonomy:other semantic rule,20,0.05,0.0,0.15,20,4000,1
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,taxonomy:pure Y,20,0.8,0.6,0.95,20,4000,16
adaptive_exploratory_posthoc_paired_support_intervention,10,primary_registered,taxonomy:stable gate 113,20,0.1,0.0,0.25,20,4000,2
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,stable_gate,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_diagnostic_accuracy,20,0.983685,0.9632700000000002,0.9965306250000001,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_factorial_accuracy,20,0.983349609375,0.9636706542968749,0.99658203125,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_target_probability,20,0.979332554419081,0.958024690462555,0.9937517621166516,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_seen_accuracy,20,0.9949228614267677,0.9879372090041035,0.9997178819444444,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_seen_target_probability,20,0.9915459808286796,0.9827603586467755,0.9974864070006506,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_unseen_accuracy,20,0.9704207049251152,0.9355329371579783,0.9931473142281105,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,q_only_unseen_target_probability,20,0.9655527814096472,0.9291785312430213,0.9896432825338239,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,seen_minus_unseen_probability,20,0.025993199419032352,0.007713150464791769,0.053458228604715864,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,common_iid_target_accuracy,20,0.9998000000000001,0.9995,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,active_codeword_coverage,20,0.54375,0.525,0.5609375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,behavior_P,20,0.49671630859375,0.4920654296875,0.4994873046875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,behavior_Q,20,0.50504150390625,0.5010861206054688,0.51055908203125,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,behavior_Y,20,0.99495849609375,0.98948974609375,0.9989016723632812,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,causal_P,20,0.49676513671875,0.4921873474121094,0.4995057678222656,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,causal_Q,20,0.5049163818359375,0.50108642578125,0.5102953338623046,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,causal_Y,20,0.9950024414062499,0.9897382202148437,0.998851348876953,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,pure_Y,20,1.0,1.0,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,pure_Q,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,pure_P,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,50,primary_registered,taxonomy:pure Y,20,1.0,1.0,1.0,20,4000,20
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,stable_gate,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_diagnostic_accuracy,20,0.996965,0.993579875,0.9995502500000002,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,100,primary_registered,q_only_factorial_accuracy,20,0.996875,0.993408203125,0.999755859375,20,4000,
