seed,washout_offset,hamming_dispersion,signed_recency_margin,probability_dispersion,candidate_control_vector_dispersion,P_last_minus_first_margin,Q_last_minus_first_margin,Y_last_minus_first_margin
613,62,0.4,1.0,0.3966180739304107,0.2666666666666667,1.0,1.0,1.0
613,85,0.4,1.0,0.3961845785133487,0.2666666666666667,1.0,1.0,1.0
613,117,0.4,1.0,0.3955273333024051,0.2666666666666667,1.0,1.0,1.0
613,128,0.4,1.0,0.39526689698598655,0.2666666666666667,1.0,1.0,1.0
613,161,0.4,1.0,0.3945770236768636,0.2666666666666667,1.0,1.0,1.0
613,222,0.4,1.0,0.393417997931403,0.2666666666666667,1.0,1.0,1.0
613,256,0.4,1.0,0.39280897748181615,0.2666666666666667,1.0,1.0,1.0
617,0,0.4,1.0,0.4001291425795525,0.2666666666666667,1.0,1.0,1.0
617,1,0.4,1.0,0.399850386200516,0.2666666666666667,1.0,1.0,1.0
617,2,0.4,1.0,0.39960862534809277,0.2666666666666667,1.0,1.0,1.0
617,3,0.4,1.0,0.39928718111831546,0.2666666666666667,1.0,1.0,1.0
617,4,0.4,1.0,0.39884662831575385,0.2666666666666667,1.0,1.0,1.0
617,5,0.4,1.0,0.39827332152245837,0.2666666666666667,1.0,1.0,1.0
617,7,0.4,1.0,0.3967434189327184,0.2666666666666667,1.0,1.0,1.0
617,9,0.4,1.0,0.3950226714757394,0.2666666666666667,1.0,1.0,1.0
617,13,0.39375,0.9791666666666666,0.3917852128384943,0.2659722222222223,0.96875,1.0,0.96875
617,17,0.384375,0.9479166666666666,0.38882087670600407,0.2649305555555556,0.921875,1.0,0.921875
617,24,0.384375,0.9479166666666666,0.3846941066040192,0.2649305555555556,0.921875,1.0,0.921875
617,33,0.384375,0.9479166666666666,0.3813759111180415,0.2649305555555556,0.921875,1.0,0.921875
617,45,0.384375,0.9479166666666666,0.37903129727127827,0.2649305555555556,0.921875,1.0,0.921875
617,62,0.38125,0.9375,0.37732745395690626,0.2645833333333334,0.90625,1.0,0.90625
617,85,0.378125,0.9270833333333334,0.3750564861748774,0.26423611111111117,0.890625,1.0,0.890625
617,117,0.36875,0.8958333333333334,0.3724596630133902,0.2631944444444445,0.84375,1.0,0.84375
617,128,0.365625,0.8854166666666666,0.3716872687032312,0.2628472222222223,0.828125,1.0,0.828125
617,161,0.365625,0.8854166666666666,0.36990395980451624,0.2628472222222223,0.828125,1.0,0.828125
617,222,0.3625,0.875,0.3672461134295701,0.26250000000000007,0.8125,1.0,0.8125
617,256,0.3625,0.875,0.3665023657668346,0.26250000000000007,0.8125,1.0,0.8125
619,0,0.4,1.0,0.39986511208516523,0.2666666666666667,1.0,1.0,1.0
619,1,0.4,1.0,0.3997963828321305,0.2666666666666667,1.0,1.0,1.0
619,2,0.4,1.0,0.39974817800936424,0.2666666666666667,1.0,1.0,1.0
619,3,0.4,1.0,0.3997034973475033,0.2666666666666667,1.0,1.0,1.0
