arm,q,k,beta,rho_y_estimate,rho_y_ci_low,rho_y_ci_high,rho_y_n_seeds,rho_y_n_cells,intended_probability_estimate,intended_probability_ci_low,intended_probability_ci_high,intended_probability_n_seeds,intended_probability_n_cells,iid_accuracy_estimate,iid_accuracy_ci_low,iid_accuracy_ci_high,iid_accuracy_n_seeds,iid_accuracy_n_cells,final_policy_entropy_estimate,final_policy_entropy_ci_low,final_policy_entropy_ci_high,final_policy_entropy_n_seeds,final_policy_entropy_n_cells,intended_probability_auc_estimate,intended_probability_auc_ci_low,intended_probability_auc_ci_high,intended_probability_auc_n_seeds,intended_probability_auc_n_cells,acquisition_observed_estimate,acquisition_observed_ci_low,acquisition_observed_ci_high,acquisition_observed_n_seeds,acquisition_observed_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,exact_flip_rate_estimate,exact_flip_rate_ci_low,exact_flip_rate_ci_high,exact_flip_rate_n_seeds,exact_flip_rate_n_cells,reliably_intended_seeds,reliably_intended_cell
actor_critic_full,0.75,2,0.01,1.0,1.0,1.0,10,10,0.9999865515407524,0.9999691638562174,0.9999980021301413,10,10,1.0,1.0,1.0,10,10,0.00010354075066061341,1.060521694171257e-05,0.0002533629769413892,10,10,0.9778326672169522,0.974727579674512,0.9806738616113951,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.75,2,0.03,1.0,1.0,1.0,10,10,0.9999786360760815,0.9999580050098862,0.9999941228523306,10,10,1.0,1.0,1.0,10,10,0.00010969612610551849,2.2484047551074586e-05,0.0002402467503088701,10,10,0.9780879642454801,0.9748880334566691,0.9810447568854717,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.75,2,0.1,1.0,1.0,1.0,10,10,0.9999946526740635,0.9999924682225307,0.999996755536979,10,10,1.0,1.0,1.0,10,10,2.528415848246368e-05,1.1371579665819808e-05,4.3544068323626564e-05,10,10,0.9800089758622909,0.9768299616969246,0.9825163451090636,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.75,2,0.3,1.0,1.0,1.0,10,10,0.9999732152512057,0.9999531296705914,0.9999912495833938,10,10,1.0,1.0,1.0,10,10,8.624400934422737e-05,2.7069362010934126e-05,0.00016995972448967226,10,10,0.983446659243976,0.98302458815598,0.9838470480148679,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.75,3,0.0,0.20203,0.12622,0.25345,10,10,0.20202830486030027,0.12701853216155956,0.2533568463259601,10,10,0.79805,0.780275,0.8107000000000001,10,10,1.3834399838175137e-05,5.065439157664331e-06,2.3912836710509035e-05,10,10,0.15333033304833682,0.09399366875844235,0.2049570255967997,10,10,0.0,0.0,0.0,10,10,0.7979700000000001,0.7467289999999999,0.8729702500000002,10,10,0.20203,0.12684974999999998,0.25344,10,10,0,0
actor_critic_full,0.75,3,0.003,0.22725,0.1757595,0.25421025,10,10,0.2272455734216329,0.1759241050256411,0.2541984179802486,10,10,0.8063749999999998,0.7935993749999999,0.81355,10,10,4.536605214298106e-05,2.1521338252625812e-05,7.419131501279708e-05,10,10,0.198791360145665,0.15243978447177606,0.22801748643725023,10,10,0.0,0.0,0.0,10,10,0.77275,0.74575,0.82394025,10,10,0.22725,0.17586850000000004,0.25421000000000005,10,10,0,0
actor_critic_full,0.75,3,0.01,0.22712,0.17589975000000002,0.25392,10,10,0.2270445606363777,0.17606833060463553,0.2538893877463511,10,10,0.805475,0.792775,0.8124750000000001,10,10,6.174156396809849e-05,1.7017122504512373e-05,0.00014085007474932355,10,10,0.2045959913344298,0.15707821950542475,0.23273418881721697,10,10,0.0,0.0,0.0,10,10,0.77288,0.74615,0.8241202500000001,10,10,0.22712,0.1757295,0.25382025,10,10,0,0
actor_critic_full,0.75,3,0.03,0.24986999999999998,0.24661975,0.25307999999999997,10,10,0.24984592011261517,0.24666598959349317,0.25302951153501746,10,10,0.8117749999999999,0.809925,0.813925,10,10,8.55724520079093e-05,1.879877961073362e-05,0.0001793607102786155,10,10,0.22192517469999626,0.2138392417375401,0.23105749425747948,10,10,0.0,0.0,0.0,10,10,0.7501300000000001,0.74692925,0.75344025,10,10,0.24986999999999998,0.24666975,0.25312024999999994,10,10,0,0
actor_critic_full,0.75,3,0.1,0.24994999999999998,0.24674999999999997,0.25323,10,10,0.24990982910891732,0.24660139980511853,0.2530594230923232,10,10,0.8120499999999999,0.8103000000000001,0.8140506250000001,10,10,1.942182345828769e-05,3.1898809041308597e-06,4.864431854940676e-05,10,10,0.2347367665947408,0.23007632738601394,0.24008262413008058,10,10,0.0,0.0,0.0,10,10,0.7500500000000001,0.74675,0.7533299999999999,10,10,0.24994999999999998,0.24677000000000002,0.25311025000000004,10,10,0,0
actor_critic_full,0.75,3,0.3,0.26413,0.24980000000000002,0.29036999999999996,10,10,0.264120172112788,0.2496243227752641,0.2904012931581959,10,10,0.8147,0.809675,0.8221762499999999,10,10,0.0002666886127371981,2.5813034899329068e-05,0.0006303741439432997,10,10,0.2530680833842308,0.2408161021804114,0.2737051276638672,10,10,0.0,0.0,0.0,10,10,0.7357899999999999,0.7095295,0.7502,10,10,0.26416999999999996,0.24971000000000004,0.29059100000000004,10,10,0,0
actor_critic_full,0.75,4,0.0,0.0503,0.012039999999999999,0.10076,10,10,0.050292796143205754,0.012037227358751245,0.10616799479536665,10,10,0.763275,0.753,0.777475,10,10,2.092998155518444e-05,7.449694420600395e-06,3.897675457238848e-05,10,10,0.034076564767906034,0.008990535426676419,0.06330919057536678,10,10,0.0,0.0,0.0,10,10,0.9497,0.89426,0.98796,10,10,0.0503,0.006619999999999999,0.10618000000000001,10,10,0,0
