run_id,seed,rule,q,width,depth,parameters,proxy_decoder_accuracy,exact_decoder_accuracy,decoder_advantage,rho_y,rho_p,iid_accuracy,single_channel_bayes,proxy_flip_rate,rule_flip_rate,proxy_probability_ate,rule_probability_ate,exact_acquisition_step,exact_acquisition_observed,exact_restricted_acquisition_step,competition_acquisition_step,competition_acquisition_observed,competition_restricted_acquisition_step
27415555c82fd8c91cd4,41,multiplexer,0.99,128,1,2305,1.0,1.0,0.0,0.9802,0.0198,0.9995,0.631,0.0198,0.9802,0.05311921049451273,-0.9468462641828621,64,1,64,2896,1,2896
27c9ebdbacbb56ce1cd4,67,multiplexer,0.9,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,0.00014063860396958466,-0.9998204638608799,181,1,181,512,1,512
2800e9f0deeda4745a12,97,majority,0.75,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.6936,0.0,1.0,3.913930102873442e-07,-0.9999992003669544,8,1,8,23,1,23
28270d9a1b2dfb6634b9,11,conjunction,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.7669,0.0,1.0,1.2473390537949046e-06,-0.9999960370535286,23,1,23,23,1,23
285ce6931459eb193581,83,conjunction,0.9,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.7633,0.0,1.0,5.2084688132299486e-05,-0.9999255277879554,45,1,45,45,1,45
2868b8c373e13555e84b,23,multiplexer,0.75,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.6296,0.0,1.0,8.59588867818708e-06,-0.9999832111195914,91,1,91,181,1,181
2904109c40cab0ef29b2,11,parity,0.75,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.5078,0.0,1.0,0.0007709814555690764,-0.9984137759323359,128,1,128,1024,1,1024
2910801f86396909defd,11,parity,0.75,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.5078,0.0,1.0,0.00449769781286887,-0.9953987654433158,181,1,181,512,1,512
296299d3e659c2e2208c,97,conjunction,0.99,128,2,18817,1.0,1.0,0.0,0.9997,0.0003,1.0,0.7657,0.0003,0.9997,0.002619468216257088,-0.9973791877772387,16,1,16,64,1,64
2963fb4cf56996f5b374,67,multiplexer,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6249,0.0,1.0,3.6081462872503356e-06,-0.9999934867990836,45,1,45,91,1,91
297936706d999431b596,53,parity,0.9,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.506,0.0,1.0,2.9803225950650957e-05,-0.999966127369252,23,1,23,362,1,362
29a9dbd766d32410916b,83,multiplexer,0.99,16,1,289,1.0,1.0,0.0,0.9883,0.0117,0.99975,0.6269,0.0117,0.9883,0.05452427637336814,-0.9452519693711889,181,1,181,2896,1,2896
29bc86dfaf0a9de0b12c,101,multiplexer,0.75,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.6318,0.0,1.0,0.00011100618725935539,-0.9997714691323396,128,1,128,256,1,256
29c6209377437c5cb94e,101,parity,0.9,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.514,0.0,1.0,0.0005766983925932887,-0.9992783293896093,181,1,181,1448,1,1448
2a357936834171622f95,97,multiplexer,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6239,0.0,1.0,3.07118948547086e-06,-0.9999942015722759,64,1,64,128,1,128
2aa076a44b02bb03faa3,23,conjunction,0.75,8,1,145,1.0,1.0,0.0,1.0,0.0,1.0,0.7588,0.0,1.0,9.784020179445243e-05,-0.9997041526439976,16,1,16,181,1,181
2ac0c24927039b0cb96b,23,parity,0.99,16,1,289,1.0,1.0,0.0,0.0,1.0,0.99,0.508,1.0,0.0,0.9772354665662668,-0.00023513377822339122,362,1,362,,0,4096
2accf20caec7b4da29dc,41,majority,0.75,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.6949,0.0,1.0,1.4465906039361443e-05,-0.9999679937084067,45,1,45,91,1,91
2b1687cc65a356fbe481,71,parity,0.99,8,1,145,1.0,0.87275,-0.12724999999999997,0.0,1.0,0.99,0.5035,1.0,0.0,0.9796000688699125,1.1263187868798985e-06,,0,4096,,0,4096
2b1bbec3f7430cbe4d31,97,majority,0.75,64,2,5313,1.0,1.0,0.0,1.0,0.0,1.0,0.6936,0.0,1.0,4.665768605814358e-07,-0.9999990202988589,8,1,8,32,1,32
