mode,k,total,trainable,decoder,behavior,crossed
head_only,5,1601,33,0.80975,0.1019,False
head_only,4,545,33,0.504,0.0033,False
full,4,5249,5249,1.0,1.0,True
head_only,2,51713,129,1.0,0.0304,True
full,2,1089,1089,1.0,1.0,True
head_only,5,5249,65,0.56175,0.0,False
full,2,1601,1601,1.0,1.0,True
full,1,273,273,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,4,51713,51713,1.0,1.0,True
full,5,137,137,1.0,1.0,True
full,3,137,137,1.0,1.0,True
full,1,13569,13569,1.0,1.0,True
head_only,4,209,9,0.676,0.2982,False
full,2,1601,1601,1.0,1.0,True
head_only,2,3713,33,0.7495,0.348,False
head_only,1,5249,65,1.0,1.0,True
full,1,545,545,1.0,1.0,True
full,1,273,273,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
head_only,4,1601,33,0.9345,0.0739,False
full,2,1089,1089,1.0,1.0,True
full,5,273,273,1.0,0.9998,True
full,5,18689,18689,1.0,1.0,True
head_only,3,1089,65,1.0,0.0,True
full,3,1089,1089,1.0,1.0,True
head_only,2,2177,129,1.0,0.746,True
full,2,51713,51713,1.0,1.0,True
head_only,1,545,17,1.0,0.8677,True
head_only,5,1089,17,0.55475,0.0572,False
head_only,1,137,9,1.0,0.4529,True
head_only,5,51713,129,0.5005,0.0168,False
head_only,5,209,9,0.499,0.3351,False
full,1,5249,5249,1.0,1.0,True
head_only,2,209,9,0.5045,0.1881,False
full,3,209,209,1.0,1.0,True
full,1,209,209,1.0,1.0,True
subspace,1,51713,16,1.0,0.4306,True
full,5,353,353,1.0,1.0,True
head_only,3,5249,65,1.0,0.0018,True
full,5,2177,2177,1.0,1.0,True
full,2,545,545,1.0,1.0,True
full,1,18689,18689,1.0,1.0,True
full,1,137,137,1.0,1.0,True
head_only,3,3713,33,1.0,0.0301,True
head_only,1,545,33,1.0,0.9954,True
full,4,137,137,1.0,1.0,True
full,1,5249,5249,1.0,1.0,True
subspace,4,51713,4,0.559,0.2996,False
full,5,273,273,1.0,1.0,True
full,1,18689,18689,1.0,1.0,True
head_only,5,2177,129,0.467,0.0,False
full,2,1601,1601,1.0,1.0,True
full,3,353,353,1.0,1.0,True
full,4,3713,3713,1.0,1.0,True
full,3,5249,5249,1.0,1.0,True
head_only,2,545,17,1.0,0.0029,True
full,2,353,353,1.0,1.0,True
head_only,3,51713,129,1.0,0.0871,True
head_only,5,545,33,0.85025,0.0029,False
full,5,3713,3713,1.0,1.0,True
head_only,2,137,9,1.0,0.1148,True
head_only,1,1601,33,1.0,0.9996,True
head_only,1,13569,65,1.0,0.991,True
head_only,2,3713,33,1.0,0.0,True
full,4,1089,1089,1.0,1.0,True
head_only,1,137,9,1.0,0.7135,True
head_only,2,18689,129,1.0,0.4475,True
full,1,209,209,1.0,1.0,True
full,4,18689,18689,1.0,1.0,True
full,5,5249,5249,1.0,1.0,True
head_only,1,273,17,1.0,0.7742,True
head_only,3,18689,129,1.0,0.0,True
full,4,545,545,1.0,1.0,True
full,3,51713,51713,1.0,1.0,True
full,4,545,545,1.0,1.0,True
head_only,5,209,9,0.41525,0.2541,False
full,3,1089,1089,1.0,1.0,True
full,4,273,273,1.0,1.0,True
full,5,1089,1089,1.0,1.0,True
head_only,4,1601,33,0.496,0.019,False
full,1,353,353,1.0,1.0,True
head_only,5,1601,33,0.88125,0.1213,False
full,1,18689,18689,1.0,1.0,True
head_only,1,2177,129,1.0,1.0,True
full,4,51713,51713,1.0,1.0,True
full,1,1089,1089,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
full,5,3713,3713,1.0,1.0,True
head_only,3,545,17,0.6325,0.0003,False
full,2,1089,1089,1.0,1.0,True
head_only,4,545,33,1.0,0.0037,True
full,5,545,545,1.0,1.0,True
head_only,4,5249,65,0.5675,0.0,False
full,4,51713,51713,1.0,1.0,True
subspace,4,51713,4,0.5615,0.3662,False
head_only,5,1089,17,0.5365,0.0781,False
full,5,1601,1601,1.0,1.0,True
full,3,5249,5249,1.0,1.0,True
head_only,3,13569,65,0.884,0.1786,False
full,2,273,273,1.0,1.0,True
full,2,273,273,1.0,1.0,True
head_only,5,51713,129,0.66075,0.0,False
full,4,2177,2177,1.0,1.0,True
head_only,1,545,17,1.0,0.7018,True
head_only,4,5249,65,0.42375,0.0,False
head_only,5,273,17,0.53,0.0962,False
full,1,3713,3713,1.0,1.0,True
head_only,2,209,9,1.0,0.2617,True
head_only,3,18689,129,1.0,0.0019,True
full,1,353,353,1.0,1.0,True
head_only,2,1089,17,1.0,0.0017,True
full,1,209,209,1.0,1.0,True
head_only,4,1089,65,0.579,0.0,False
head_only,4,1089,17,0.695,0.3876,False
head_only,1,137,9,1.0,0.717,True
subspace,5,51713,64,0.74825,0.0,False
subspace,3,51713,4,0.61925,0.3159,False
head_only,3,209,9,0.748,0.3228,False
head_only,4,51713,129,0.501,0.0172,False
head_only,4,273,17,0.371,0.0281,False
head_only,4,545,17,0.5035,0.0935,False
full,1,137,137,1.0,1.0,True
