inference_status,factor,comparison,cohort,outcome,matched_pairs,estimate,ci_low,ci_high,n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_behavior_Y,40,-0.191448974609375,-0.20795333862304688,-0.17385787963867189,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_behavior_Y,80,-0.2155975341796875,-0.23074394226074219,-0.19973724365234374,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_causal_P,40,0.0330810546875,0.02274757385253906,0.04343620300292969,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_causal_P,40,0.0279571533203125,0.018059844970703124,0.0375823974609375,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_causal_P,80,0.03051910400390625,0.023517494201660157,0.03769248962402343,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_causal_Q,40,0.2340606689453125,0.2203812789916992,0.24702026367187502,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_causal_Q,40,0.18751068115234376,0.16972843170166016,0.20314060211181642,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_causal_Q,80,0.21078567504882811,0.19570663452148437,0.22529619216918945,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_causal_Y,40,-0.239835205078125,-0.2528212127685546,-0.2261252746582031,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_causal_Y,40,-0.191456298828125,-0.20794300333658855,-0.17315262349446617,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_causal_Y,80,-0.21564575195312502,-0.23048693593343098,-0.19985970560709634,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_probe_selectivity_Q,40,0.029150390625,0.0226251220703125,0.03468048095703125,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_probe_selectivity_Q,40,0.032379150390625,0.024022979736328127,0.042285308837890626,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_probe_selectivity_Q,80,0.0307647705078125,0.02561317443847656,0.03638320922851563,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_probe_selectivity_Y,40,-0.15784912109375,-0.18333892822265627,-0.13231658935546875,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_probe_selectivity_Y,40,-0.160589599609375,-0.1752262878417969,-0.14335769653320313,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_probe_selectivity_Y,80,-0.1592193603515625,-0.17404541015625,-0.14385604858398438,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_pure_P,80,0.0,0.0,0.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_pure_Q,40,0.5,0.5,0.5,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_pure_Q,40,0.5,0.5,0.5,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_pure_Q,80,0.5,0.5,0.5,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_pure_Y,40,-0.55,-0.65,-0.425,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_pure_Y,40,-0.3,-0.425,-0.175,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_pure_Y,80,-0.425,-0.525,-0.325,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Q_behavior_observed,40,0.025,0.0,0.075,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Q_behavior_observed,40,0.025,0.0,0.075,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Q_behavior_observed,80,0.025,0.0,0.0625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Y_behavior_observed,40,-0.55,-0.65,-0.425,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Y_behavior_observed,40,-0.35,-0.475,-0.2,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Y_behavior_observed,80,-0.45,-0.55,-0.35,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Q_causal_observed,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Q_causal_observed,40,0.025,0.0,0.075,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Q_causal_observed,80,0.0125,0.0,0.0375,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Y_causal_observed,40,-0.55,-0.65,-0.425,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Y_causal_observed,40,-0.35,-0.475,-0.2,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Y_causal_observed,80,-0.45,-0.55,-0.35,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Q_behavior_restricted_step,40,-222.825,-628.3081249999999,-17.4,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Q_behavior_restricted_step,40,-222.85,-628.55,-16.7,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Q_behavior_restricted_step,80,-222.8375,-525.8384374999999,-19.473437499999996,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Y_behavior_restricted_step,40,4496.8,4122.096875,4878.99375,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Y_behavior_restricted_step,40,3426.875,2781.4212500000003,4081.1775000000002,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Y_behavior_restricted_step,80,3961.8375,3520.810625,4398.60875,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Q_causal_restricted_step,40,-20.15,-24.3,-16.25,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Q_causal_restricted_step,40,-222.85,-628.55,-16.7,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Q_causal_restricted_step,80,-121.5,-324.71375,-18.0246875,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,Y_causal_restricted_step,40,4492.875,4122.9243750000005,4864.30375,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,Y_causal_restricted_step,40,3450.475,2816.063125,4132.853125000001,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,Y_causal_restricted_step,80,3971.675,3523.3596875000003,4398.4903125,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,time_share_D,40,0.06583099365234375,0.015005149841308595,0.11599090576171876,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,time_share_D,40,-0.0659637451171875,-0.14481884002685547,0.013648681640625016,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,time_share_D,80,-6.6375732421875e-05,-0.05634286880493164,0.053396320343017584,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_tuple_composite,40,-0.125,-0.2,-0.05,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_tuple_composite,40,-0.25,-0.35,-0.15,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_tuple_composite,80,-0.1875,-0.25,-0.125,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_codeword_patch,40,0.175,0.075,0.275,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_codeword_patch,40,0.075,0.0,0.175,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_codeword_patch,80,0.125,0.05,0.2,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_tuple_consistency,40,-0.03577880859375,-0.041766357421875,-0.029058685302734377,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_tuple_consistency,40,-0.023907470703125,-0.03739028930664063,-0.012371673583984374,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_tuple_consistency,80,-0.0298431396484375,-0.03744583129882813,-0.022555389404296876,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_behavior_P,40,-0.011407470703125,-0.018817291259765626,-0.0031492614746093744,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_behavior_P,40,-0.008209228515625,-0.0156195068359375,-0.0020140075683593743,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_behavior_P,80,-0.009808349609375,-0.015296020507812499,-0.004583587646484374,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_behavior_Q,40,0.296197509765625,0.28240936279296874,0.3094850158691406,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_behavior_Q,40,0.270074462890625,0.2585325622558594,0.28229522705078125,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_behavior_Q,80,0.283135986328125,0.2727046966552734,0.2942790985107422,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_behavior_Y,40,-0.298968505859375,-0.3120552062988281,-0.2845335388183594,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_behavior_Y,40,-0.269085693359375,-0.2863229370117188,-0.2495161437988281,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_behavior_Y,80,-0.284027099609375,-0.2970832824707031,-0.26954299926757813,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_causal_P,40,-0.0117095947265625,-0.01897911071777344,-0.0038572692871093744,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_causal_P,40,-0.0082000732421875,-0.01521636962890625,-0.002380065917968749,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_causal_P,80,-0.009954833984375,-0.0149871826171875,-0.00515277862548828,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_causal_Q,40,0.29591064453125,0.2816735076904297,0.3091112518310547,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_causal_Q,40,0.26954345703125,0.2579677200317383,0.28237491607666015,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_causal_Q,80,0.28272705078125,0.27184486389160156,0.29331449508666996,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_causal_Y,40,-0.29906311035156247,-0.31189546712239585,-0.2852046254475911,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_causal_Y,40,-0.26914550781249996,-0.2876519012451172,-0.24875129191080728,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_causal_Y,80,-0.28410430908203127,-0.29654366556803385,-0.27030610911051434,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_probe_selectivity_Q,40,0.176953125,0.15923995971679689,0.19748733520507813,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_probe_selectivity_Q,40,0.175408935546875,0.1661376953125,0.18428970336914063,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_probe_selectivity_Q,80,0.1761810302734375,0.1662109375,0.187821044921875,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_probe_selectivity_Y,40,-0.179022216796875,-0.208099365234375,-0.152069091796875,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_probe_selectivity_Y,40,-0.1902099609375,-0.2086328125,-0.17169158935546874,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_probe_selectivity_Y,80,-0.1846160888671875,-0.2014720916748047,-0.16763580322265625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_pure_P,40,0.0,0.0,0.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_pure_P,80,0.0,0.0,0.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_pure_Q,40,0.5,0.5,0.5,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_pure_Q,40,0.5,0.5,0.5,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_pure_Q,80,0.5,0.5,0.5,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,final_pure_Y,40,-0.825,-0.95,-0.7,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,final_pure_Y,40,-0.625,-0.775,-0.5,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,final_pure_Y,80,-0.725,-0.825,-0.625,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,Q_behavior_observed,40,1.0,1.0,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,fresh,Q_behavior_observed,40,1.0,1.0,1.0,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,pooled,Q_behavior_observed,80,1.0,1.0,1.0,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.9,original,Y_behavior_observed,40,-0.825,-0.95,-0.7,10
