seed,trajectory,eligible_intersection,first_non_p_goal,first_non_p_confirmation_step,final_control_taxonomy,final_boolean_signature,final_boolean_signature_int,final_target_accuracy,auc128_P,handoff_P_observed,handoff_P_first_qualifying,handoff_P_confirmation,restricted_time_P,zero_behavior_P,zero_causal_P,zero_probe_final_hidden_P,zero_probe_selective_final_hidden_P,zero_control_P,final_behavior_P,final_causal_P,final_probe_final_hidden_P,final_probe_selective_final_hidden_P,final_control_P,auc128_Q,handoff_Q_observed,handoff_Q_first_qualifying,handoff_Q_confirmation,restricted_time_Q,zero_behavior_Q,zero_causal_Q,zero_probe_final_hidden_Q,zero_probe_selective_final_hidden_Q,zero_control_Q,final_behavior_Q,final_causal_Q,final_probe_final_hidden_Q,final_probe_selective_final_hidden_Q,final_control_Q,auc128_Y,handoff_Y_observed,handoff_Y_first_qualifying,handoff_Y_confirmation,restricted_time_Y,zero_behavior_Y,zero_causal_Y,zero_probe_final_hidden_Y,zero_probe_selective_final_hidden_Y,zero_control_Y,final_behavior_Y,final_causal_Y,final_probe_final_hidden_Y,final_probe_selective_final_hidden_Y,final_control_Y
179,nested_reset,True,Q,45,Y,01010101,85,1.0,0.5815792083740234,True,0,1,1.0,0.99951171875,0.9996337890625,1.0,0.3984375,0.99957275390625,0.5,0.5,0.994873046875,0.266845703125,0.5,0.9184048175811768,True,33,45,45.0,0.50048828125,0.50030517578125,0.8818359375,0.2802734375,0.500396728515625,0.5,0.5,0.991943359375,0.263916015625,0.5,0.5008104642232258,True,222,304,304.0,0.50048828125,0.5003255208333334,0.51806640625,-0.08349609375,0.5004069010416667,1.0,1.0,1.0,0.27197265625,1.0
179,scratch,True,Q,33,Y,01010101,85,1.0,0.517505407333374,False,,,1024.0,0.500732421875,0.5010986328125,0.9482421875,0.361328125,0.50091552734375,0.5,0.5,0.965087890625,0.221435546875,0.5,0.927666425704956,True,24,33,33.0,0.499755859375,0.50030517578125,0.697998046875,0.111083984375,0.500030517578125,0.5,0.5,1.0,0.25634765625,0.5,0.5120373566945394,True,161,222,222.0,0.501708984375,0.5009358723958334,0.534423828125,-0.052490234375,0.5013224283854167,1.0,1.0,1.0,0.25634765625,1.0
179,sham,True,Q,33,Y,01010101,85,1.0,0.5106954574584961,False,,,1024.0,0.503662109375,0.503173828125,0.8828125,0.324462890625,0.50341796875,0.5,0.5,0.878662109375,0.20458984375,0.5,0.9280322790145874,True,24,33,33.0,0.501708984375,0.50091552734375,0.680419921875,0.1220703125,0.501312255859375,0.5,0.5,0.988037109375,0.31396484375,0.5,0.5141897201538086,True,161,222,222.0,0.501708984375,0.500732421875,0.5263671875,-0.031982421875,0.501220703125,1.0,1.0,1.0,0.325927734375,1.0
181,independent_carry,True,Q,33,Y,01010101,85,1.0,0.5528321266174316,True,0,1,1.0,0.997314453125,0.99755859375,1.0,0.424560546875,0.9974365234375,0.5,0.5,0.981689453125,0.3388671875,0.5,0.9272042512893677,True,24,33,33.0,0.502685546875,0.50286865234375,0.84326171875,0.267822265625,0.502777099609375,0.5,0.5,0.999267578125,0.3564453125,0.5,0.5202720959981283,True,222,304,304.0,0.501220703125,0.5013020833333334,0.538330078125,-0.037109375,0.5012613932291667,1.0,1.0,1.0,0.357177734375,1.0
181,independent_reset,True,Q,33,Y,01010101,85,1.0,0.561699628829956,True,0,1,1.0,0.997314453125,0.99755859375,1.0,0.424560546875,0.9974365234375,0.5,0.5,0.99267578125,0.309326171875,0.5,0.9236383438110352,True,24,33,33.0,0.502685546875,0.50286865234375,0.84326171875,0.267822265625,0.502777099609375,0.5,0.5,0.99853515625,0.315185546875,0.5,0.5141772429148357,True,222,304,304.0,0.501220703125,0.5013020833333334,0.538330078125,-0.037109375,0.5012613932291667,1.0,1.0,1.0,0.316650390625,1.0
181,nested_carry,True,Q,85,Y,01010101,85,1.0,0.5989055633544922,True,0,1,1.0,1.0,1.0,1.0,0.43017578125,1.0,0.5,0.5,0.978515625,0.261962890625,0.5,0.8523929119110107,True,62,85,85.0,0.5,0.5,0.68310546875,0.11328125,0.5,0.5,0.5,1.0,0.283447265625,0.5,0.5371562639872234,True,161,222,222.0,0.5,0.5,0.5771484375,0.00732421875,0.5,1.0,1.0,0.999267578125,0.28271484375,1.0
181,nested_reset,True,Q,62,Y,01010101,85,1.0,0.6026661396026611,True,0,1,1.0,1.0,1.0,1.0,0.43017578125,1.0,0.5,0.5,0.990234375,0.244140625,0.5,0.8674460649490356,True,45,62,62.0,0.5,0.5,0.68310546875,0.11328125,0.5,0.5,0.5,0.99951171875,0.25341796875,0.5,0.526172399520874,True,161,222,222.0,0.5,0.5,0.5771484375,0.00732421875,0.5,1.0,1.0,1.0,0.25390625,1.0
181,scratch,True,Q,45,Y,01010101,85,1.0,0.5000066757202148,False,,,1024.0,0.491943359375,0.4921875,0.9755859375,0.402587890625,0.4920654296875,0.5,0.5,0.9453125,0.19189453125,0.5,0.8618062734603882,True,33,45,45.0,0.501220703125,0.50048828125,0.63525390625,0.062255859375,0.5008544921875,0.5,0.5,1.0,0.24658203125,0.5,0.5609370072682698,True,161,222,222.0,0.501220703125,0.5010172526041666,0.54833984375,-0.024658203125,0.5011189778645833,1.0,1.0,1.0,0.24658203125,1.0
181,sham,True,Q,45,Y,01010101,85,1.0,0.5082287788391113,False,,,1024.0,0.4951171875,0.4873046875,0.8427734375,0.27978515625,0.4912109375,0.5,0.5,0.839111328125,0.069091796875,0.5,0.9042311906814575,True,33,45,45.0,0.5009765625,0.49847412109375,0.634765625,0.07177734375,0.499725341796875,0.5,0.5,0.99951171875,0.2294921875,0.5,0.5234239101409912,True,161,222,222.0,0.49951171875,0.502685546875,0.52587890625,-0.037109375,0.5010986328125,1.0,1.0,1.0,0.22998046875,1.0
191,independent_carry,True,Q,17,Y,01010101,85,1.0,0.5358724594116211,True,0,1,1.0,0.999267578125,0.9986572265625,1.0,0.41455078125,0.99896240234375,0.5,0.5,0.975341796875,0.2392578125,0.5,0.9641211032867432,True,13,17,17.0,0.500732421875,0.50177001953125,0.989501953125,0.404052734375,0.501251220703125,0.5,0.5,0.997802734375,0.26171875,0.5,0.500460942586263,True,222,304,304.0,0.500244140625,0.5005696614583334,0.513916015625,-0.071533203125,0.5004069010416667,1.0,1.0,1.0,0.263916015625,1.0
